Fish_ID,Population,Treatment,DPI,Fibrosis_Score_Left,Fibrosis_Score_right,Sex,Lane
340,SAY,Worm Protein,42,0,0,F,L001
341,SAY,PBS,42,0,0,F,L001
342,SAY,PBS,42,0,0,M,L001
344,SAY,Worm Protein,42,0,0,M,L001
345,SAY,Alum,42,2+,1,M,L001
346,SAY,PBS,42,0,0,M,L001
347,RSL,PBS,42,0,0,F,L001
348,GOS,PBS,42,0,0,F,L001
350,GOS,Alum,42,2+,2+,M,L001
351,RSL,Worm Protein,42,0,0,M,L001
352,RSL,Alum,42,1,1,F,L001
353,GOS,Alum,42,2+,2+,F,L001
354,RSL,Worm Protein,42,0,0,M,L001
356,RSL,PBS,42,0,0,M,L001
358,GOS,Worm Protein,42,0,0,M,L001
359,RSL,PBS,42,0,0,F,L001
360,RSL,Alum,42,1,1,F,L001
362,RSL,PBS,42,0,0,M,L001
363,RSL,Worm Protein,42,0,0,F,L001
365,RSL,Worm Protein,42,0.5,0,F,L001
368,SAY,Worm Protein,42,0,0,M,L001
369,SAY,PBS,42,0,0,M,L001
370,SAY,Worm Protein,42,0,0,M,L001
371,SAY,Alum,42,2+,2+,M,L001
372,SAY,Alum,42,2,0.5,F,L001
373,SAY,Worm Protein,42,0,0,F,L002
374,SAY,Worm Protein,42,0,0,F,L002
375,SAY,Alum,42,2+,2,F,L002
377,SAY,Alum,42,2+,2+,F,L002
378,SAY,PBS,42,0,0,F,L002
379,SAY,PBS,42,0,0,M,L002
380,SAY,Alum,42,2+,2+,M,L002
381,SAY,PBS,42,0,0,F,L002
382,SAY,Worm Protein,42,0,0,F,L002
384,SAY,Worm Protein,42,0,0,F,L002
386,SAY,Alum,42,2+,1,F,L002
388,GOS,PBS,42,0,0,M,L001
389,GOS,Worm Protein,42,0,0,M,L001
390,GOS,Alum,42,2+,2+,F,L001
391,GOS,Alum,42,1,1,F,L001
392,RSL,PBS,42,0,0,F,L001
393,RSL,Alum,42,1,1,M,L001
394,GOS,PBS,42,0,0,F,L001
396,RSL,Worm Protein,42,0.5,0,F,L002
424,SAY,Worm Protein,42,0,0,F,L002
425,SAY,PBS,42,0,0,F,L002
426,SAY,Alum,42,2+,1,M,L002
427,SAY,Worm Protein,42,0,0,F,L002
428,GOS,Alum,42,2+,2,M,L001
429,GOS,PBS,42,0,0,M,L001
430,GOS,Worm Protein,42,0,0,F,L002
431,RSL,Alum,42,2,0.5,F,L002
433,RSL,Alum,42,1,1,M,L002
434,RSL,PBS,42,0,0,M,L002
436,SAY,Worm Protein,42,0,0,M,L002
439,RSL,Worm Protein,42,2,0,M,L002
440,GOS,Worm Protein,42,0,0,M,L002
441,GOS,Alum,42,0,0,M,L002
442,GOS,PBS,42,0.5,0.5,M,L002
444,GOS,Worm Protein,42,0,0,F,L002
445,GOS,Alum,42,2,2+,M,L002
446,GOS,PBS,42,0,0,M,L002
447,GOS,Worm Protein,42,0.5,0,F,L002
448,GOS,Alum,42,1,0,M,L002
