"Fish_ID","Population","Treatment","DPI","Sex","Lane"
3,"SAY","Worm Protein","1","M","L001"
4,"SAY","Worm+Alum","1","M","L001"
5,"SAY","PBS","1","M","L001"
6,"SAY","Alum","1","F","L001"
7,"SAY","PBS","1","M","L001"
8,"SAY","Alum","1","F","L001"
9,"SAY","Worm Protein","1","F","L001"
10,"SAY","Worm+Alum","1","M","L001"
11,"SAY","Worm Protein","1","M","L001"
12,"GOS","Worm Protein","1","M","L001"
13,"GOS","PBS","1","F","L001"
14,"GOS","Alum","1","F","L001"
15,"GOS","Worm+Alum","1","F","L001"
16,"RSL","Worm Protein","1","F","L001"
17,"GOS","PBS","1","F","L001"
18,"RSL","PBS","1","M","L001"
19,"RSL","Alum","1","F","L001"
20,"GOS","PBS","1","M","L001"
21,"GOS","Worm+Alum","1","M","L001"
22,"GOS","Worm Protein","1","F","L001"
23,"RSL","Alum","1","F","L001"
25,"RSL","Worm+Alum","1","F","L001"
26,"GOS","Alum","1","F","L001"
27,"RSL","Alum","1","F","L001"
28,"SAY","Worm Protein","1","M","L001"
29,"SAY","PBS","1","M","L001"
30,"SAY","Alum","1","M","L001"
31,"SAY","Worm+Alum","1","F","L001"
32,"SAY","PBS","1","F","L001"
33,"SAY","Alum","1","F","L001"
34,"SAY","Worm Protein","1","F","L001"
35,"SAY","PBS","1","F","L001"
36,"SAY","Worm+Alum","1","M","L001"
37,"SAY","Worm Protein","1","F","L001"
38,"SAY","PBS","1","F","L001"
39,"SAY","Worm Protein","1","M","L001"
40,"SAY","Worm+Alum","1","F","L001"
41,"SAY","Alum","1","F","L001"
42,"GOS","Worm+Alum","1","M","L001"
43,"GOS","Worm Protein","1","F","L001"
44,"GOS","PBS","1","M","L001"
45,"GOS","Alum","1","F","L001"
46,"GOS","Worm Protein","1","F","L001"
47,"GOS","Alum","1","F","L001"
48,"GOS","Alum","1","F","L001"
49,"GOS","PBS","1","F","L001"
50,"RSL","Alum","1","F","L001"
51,"RSL","PBS","1","M","L001"
52,"RSL","PBS","1","F","L001"
53,"RSL","Worm Protein","1","F","L001"
54,"RSL","Alum","1","M","L001"
55,"SAY","Worm+Alum","1","M","L001"
56,"SAY","Alum","1","F","L001"
57,"SAY","PBS","1","M","L001"
58,"SAY","Alum","1","M","L001"
59,"SAY","Worm Protein","1","F","L001"
60,"GOS","Alum","1","M","L001"
61,"GOS","Worm Protein","1","M","L001"
62,"GOS","PBS","1","M","L001"
63,"GOS","PBS","1","M","L001"
64,"RSL","Worm Protein","1","M","L001"
65,"RSL","Alum","1","F","L001"
66,"RSL","PBS","1","F","L001"
67,"RSL","Worm+Alum","1","F","L001"
68,"GOS","Worm+Alum","1","M","L001"
69,"GOS","Worm+Alum","1","M","L001"
70,"RSL","PBS","1","F","L001"
71,"RSL","Alum","1","M","L001"
72,"RSL","Worm+Alum","1","F","L001"
73,"RSL","Worm Protein","1","F","L001"
74,"RSL","Worm+Alum","1","F","L001"
75,"RSL","Worm Protein","1","F","L001"
76,"GOS","Worm Protein","1","M","L001"
77,"GOS","Alum","1","F","L001"
78,"GOS","PBS","1","F","L001"
79,"SAY","Alum","1","M","L001"
80,"RSL","Worm Protein","1","M","L001"
81,"RSL","Worm+Alum","1","F","L001"
82,"GOS","PBS","1","M","L001"
83,"GOS","Worm Protein","1","M","L001"
84,"GOS","Alum","1","M","L001"
85,"GOS","Worm+Alum","1","F","L001"
86,"RSL","Worm+Alum","1","M","L001"
88,"SAY","Alum","1","F","L001"
89,"SAY","PBS","1","M","L001"
90,"SAY","Worm Protein","1","F","L001"
91,"RSL","Alum","1","F","L001"
92,"RSL","PBS","1","M","L001"
93,"SAY","Worm Protein","1","F","L001"
94,"SAY","Worm+Alum","1","F","L001"
95,"SAY","PBS","1","F","L001"
96,"RSL","Alum","1","F","L001"
97,"RSL","PBS","1","M","L001"
98,"GOS","Alum","1","F","L001"
99,"GOS","Worm+Alum","1","M","L001"
100,"RSL","Worm Protein","1","F","L001"
101,"RSL","Worm+Alum","1","F","L001"
102,"SAY","Worm+Alum","1","F","L001"
103,"GOS","PBS","1","F","L001"
104,"GOS","Worm Protein","1","F","L001"
105,"SAY","Worm+Alum","1","F","L001"
106,"RSL","Worm+Alum","1","M","L001"
107,"RSL","Worm Protein","1","M","L001"
108,"RSL","PBS","1","M","L001"
109,"RSL","Worm+Alum","1","F","L001"
110,"RSL","Alum","1","F","L001"
111,"RSL","Worm Protein","1","F","L001"
112,"RSL","PBS","1","M","L001"
113,"GOS","Worm+Alum","1","F","L001"
114,"SAY","Alum","1","F","L001"
115,"SAY","Worm+Alum","1","F","L001"
116,"GOS","PBS","1","F","L001"
117,"GOS","Worm+Alum","1","F","L001"
118,"GOS","Alum","1","M","L001"
119,"GOS","Worm Protein","1","M","L001"
120,"GOS","Worm+Alum","1","F","L001"
121,"GOS","Worm Protein","1","M","L001"
122,"SAY","PBS","1","F","L001"
123,"SAY","Worm+Alum","1","F","L001"
124,"SAY","Alum","1","F","L001"
125,"RSL","Worm+Alum","1","F","L001"
126,"SAY","Worm Protein","10","M","L001"
127,"SAY","PBS","10","M","L001"
128,"SAY","PBS","10","M","L001"
129,"SAY","Worm+Alum","10","M","L001"
130,"SAY","Worm Protein","10","F","L001"
131,"SAY","Alum","10","M","L001"
132,"SAY","PBS","10","F","L001"
133,"SAY","Worm+Alum","10","F","L001"
134,"SAY","Worm Protein","10","M","L001"
135,"RSL","Alum","10","F","L001"
136,"RSL","PBS","10","M","L001"
137,"GOS","Worm+Alum","10","M","L001"
138,"GOS","Alum","10","M","L001"
139,"GOS","PBS","10","F","L001"
140,"GOS","Worm Protein","10","F","L001"
141,"RSL","Worm Protein","10","F","L001"
142,"GOS","Alum","10","M","L001"
143,"GOS","PBS","10","M","L001"
144,"RSL","Worm Protein","10","M","L001"
145,"GOS","PBS","10","M","L001"
146,"GOS","PBS","10","M","L001"
147,"GOS","Worm+Alum","10","F","L001"
148,"GOS","Worm Protein","10","F","L001"
149,"RSL","Alum","10","F","L001"
150,"RSL","Worm Protein","10","M","L001"
151,"RSL","Worm+Alum","10","F","L001"
152,"RSL","PBS","10","F","L001"
153,"SAY","Worm Protein","10","F","L001"
154,"SAY","Worm+Alum","10","M","L001"
155,"GOS","PBS","10","M","L001"
156,"SAY","Alum","10","M","L001"
157,"SAY","Worm Protein","10","M","L001"
158,"GOS","Worm Protein","10","F","L001"
159,"SAY","Worm Protein","10","F","L001"
