"gene","meanreadprop","Treat_P","DPI_P","Treat_DPI_P","Treat_C","DPI_C","Treat_DPI_C"
"ENSGACT00000004922","6.00594875425873e-05","0.000104012439494888","0.543860087746242","0.992653095481574","-0.166475327649476","0.000738364502629063","-2.2298655308327e-05"
"ENSGACT00000018895","7.65573400208909e-05","0.000105880205235373","0.00205228853544512","0.687998990744111","0.0927380936741504","-0.00165896580278867","-0.000497848790607854"
"ENSGACT00000008583","9.40582473095869e-05","0.000120581412870199","0.549336449355685","0.153874049382848","0.0749508123248319","-0.00177912456411948","0.00248871544630354"
"ENSGACT00000023744","8.27447539203745e-05","0.000124066525756025","0.652077537093513","0.745072513481878","0.0796930098348939","-7.10780048545965e-05","-0.00035075914610394"
"ENSGACT00000005820","3.23126056996295e-05","0.000124479793853859","0.0017442935747738","0.43920436650754","-0.343121437416826","0.00501661492354387","0.00314325968368844"
"ENSGACT00000011001","0.000107035600345722","0.00013980783419966","0.155764802165117","0.263922093142892","0.0626292749065401","-0.00165958738454206","0.00146793629994223"
"ENSGACT00000024712","2.61519402020388e-05","0.000156005708429755","0.640716468812002","0.686484433395","-0.424665299047747","-0.00220828402801868","0.00234332107806877"
"ENSGACT00000024983","2.80830056997286e-05","0.000166665932312096","0.603564244960248","0.2642825961611","-0.266113555895327","0.000956871638945594","-0.00643607966941713"
"ENSGACT00000004733","2.84384057023077e-05","0.000167265133981452","0.157383676489734","0.313250075137619","0.288540597505156","-0.00764660856105836","0.00605099520969536"
"ENSGACT00000011928","6.78234974490683e-05","0.000171164450907634","0.00969161305055306","0.44552060386768","0.105289364642785","0.00215663714117372","-0.000983681905329766"
"ENSGACT00000005906","4.37363809294532e-05","0.000193703794667364","0.828448856335692","0.602893119227681","-0.249954709416464","-0.000370151084505193","0.00172483786627663"
"ENSGACT00000001216","4.13804482355353e-05","0.000193801497970382","0.500417191745424","0.0549724182112277","-0.0959143891751139","0.00139791369151053","-0.00572140442458307"
"ENSGACT00000026555","8.76712536009024e-05","0.000220448347580804","0.000115700610537848","0.638166290956986","0.239672454651344","-0.00937715794460365","0.00205978403054764"
"ENSGACT00000019390","9.19883740904692e-05","0.000226046149040945","0.0767366366964758","0.914154039719222","0.0708629460760576","-0.00105056167343579","0.000120961574145682"
"ENSGACT00000014939","6.42283847590135e-05","0.000227296209675217","0.0744623412122389","0.673260447964344","0.0983335407879745","-0.0009274741616522","-0.00057361937018018"
"ENSGACT00000024280","7.15722759659969e-05","0.000247442459378084","0.313033201653775","0.738791066765241","-0.0912800834881799","-0.00084033795956108","0.000429541451283084"
"ENSGACT00000016452","9.39008990663268e-05","0.000265283592002303","0.000364708233631007","0.661184054791018","0.0403430281441603","-0.0014240643944394","0.000313686139752091"
"ENSGACT00000020727","9.39132496442325e-05","0.000271010024487933","0.00825909492545279","0.297232880866287","0.059024052491412","-0.000583609222914509","-0.000746992590698336"
"ENSGACT00000001428","7.90778091941333e-05","0.000288485067428278","0.320872379739698","0.262979653651945","0.0420296795751213","-0.000986817647951742","0.00105904330672258"
"ENSGACT00000022819","3.78954835394749e-05","0.000302344350416773","0.215793655249059","0.275280050121254","-0.367608635953257","0.000714813549956275","0.0047207122271495"
