ENSGACG00000016217,RNF4
ENSGACG00000016220,selt2
ENSGACG00000016224,COX18
ENSGACG00000016231,igfbp7
ENSGACG00000016234,polr2b
ENSGACG00000016271,sqstm1
ENSGACG00000016277,TBC1D9B
ENSGACG00000016279,RNF130
ENSGACG00000016282,F2RL3
ENSGACG00000016283,TBC1D2
ENSGACG00000016300,slc44a1b
ENSGACG00000016304,abca1b
ENSGACG00000016311,nipsnap3
ENSGACG00000016318,noa1
ENSGACG00000016320,rest
ENSGACG00000016321,B4GALT1
ENSGACG00000016326,matr3l1.1
ENSGACG00000016329,PAIP2
ENSGACG00000016332,exosc3
ENSGACG00000016337,tgfbi
ENSGACG00000016341,si:dkeyp-110e4.11
ENSGACG00000016344,arap3
ENSGACG00000016352,cplx2
ENSGACG00000016353,thoc3
ENSGACG00000016356,gm2a
ENSGACG00000016358,PCDH12
ENSGACG00000016360,pcdh1b
ENSGACG00000016362,TMEM216
ENSGACG00000016363,tmed9
ENSGACG00000016366,b4galt7
ENSGACG00000016370,emx3
ENSGACG00000016372,RAB28
ENSGACG00000016378,nkx3.2
ENSGACG00000016381,aurkb
ENSGACG00000016387,FBXL12
ENSGACG00000016388,COPS6
ENSGACG00000016398,mcm7
ENSGACG00000016402,gpc2
ENSGACG00000016407,nitr13 (2 of 6)
ENSGACG00000016409,nitr13 (3 of 6)
ENSGACG00000016411,slit3
ENSGACG00000016419,nitr13 (4 of 6)
ENSGACG00000016422,nitr13 (5 of 6)
ENSGACG00000016423,nitr13 (6 of 6)
ENSGACG00000016426,fgfrl1a
ENSGACG00000016431,spon2b
ENSGACG00000016437,CTBP1
ENSGACG00000016443,maea
ENSGACG00000016447,hnrnpa0l
ENSGACG00000016452,KLHL3
ENSGACG00000016458,fam13b
ENSGACG00000016464,cxcl14
ENSGACG00000016470,LINGO2 (2 of 2)
ENSGACG00000016472,eif4ea
ENSGACG00000016474,adh5
ENSGACG00000016479,zgc:63568
ENSGACG00000016488,elovl6
ENSGACG00000016495,egf
ENSGACG00000016496,lrit3a
ENSGACG00000016498,gpm6aa
ENSGACG00000016501,spata4
ENSGACG00000016513,tdo2b
ENSGACG00000016524,TENM3 (2 of 2)
ENSGACG00000016536,aga
ENSGACG00000016544,neil3
ENSGACG00000016550,PDGFC
ENSGACG00000016556,glrbb
ENSGACG00000016558,gria2b
ENSGACG00000016571,fam198b
ENSGACG00000016577,tmem144b
ENSGACG00000016581,rxfp1
ENSGACG00000016587,etfdh
ENSGACG00000016609,ppid
ENSGACG00000016624,rapgef2
ENSGACG00000016634,fstl5
ENSGACG00000016641,qdpra
ENSGACG00000016642,ldb2a
ENSGACG00000016645,TAPT1 (1 of 2)
ENSGACG00000016649,prom1a
ENSGACG00000016656,fgfbp1
ENSGACG00000016658,anxa5a
ENSGACG00000016665,ccna2
ENSGACG00000016673,bbs7
ENSGACG00000016676,tmem33
ENSGACG00000016683,phox2bb
ENSGACG00000016686,limch1b
ENSGACG00000016692,nanos1
ENSGACG00000016693,lbx2
ENSGACG00000016695,pcgf1
