"gene","meanreadprop","Treat_P","DPI_P","Treat_DPI_P","Treat_C","DPI_C","Treat_DPI_C"
"ENSGACT00000021398","2.45786259160878e-05","0.000192124611158813","0.875708067273963","0.839804635211368","0.42197563033297","0.00122868105610994","-0.00124161818584516"
"ENSGACT00000015918","7.52928495522618e-05","0.000241609584639289","0.287819917194477","0.148096571679485","-0.0706486051659742","0.00226908583251292","-0.00266791889522881"
"ENSGACT00000014497","2.9100963397906e-05","0.000312234215354784","0.276668232675204","0.146978977069873","0.481848756105558","0.00176065880723888","-0.00788000165442235"
"ENSGACT00000009334","2.66972621104713e-05","0.000417215422133231","0.204444482026435","0.614316946363487","-0.38554738248449","-0.00472223646876693","0.00281418471256728"
"ENSGACT00000001068","5.40948053202086e-05","0.000497650671744674","0.806279330009622","0.716444039217341","0.134983923581241","-0.000197466169483043","0.000902355490517"
"ENSGACT00000013466","2.77172196901412e-05","0.000551069322045371","0.319219468164115","0.167447250330867","0.432875296147125","0.00643519530859654","-0.00684292808370351"
"ENSGACT00000020613","4.63797113927102e-05","0.000639953822477885","0.836602389965647","0.347177633143595","-0.149010546930691","0.00115570899616231","-0.00329567888146078"
"ENSGACT00000005342","4.16899908699207e-05","0.000641824984797524","0.180478088685591","0.300820064597111","-0.123596814122079","0.00343281480539022","-0.00308034002949777"
"ENSGACT00000001563","4.11118648086239e-05","0.000920278532148438","0.00179154629894376","0.840944909205211","-0.210710970835068","0.0060985579048381","-0.000738624028084662"
"ENSGACT00000012583","2.60844681430704e-05","0.00107973398866063","0.746209196112611","0.60849338493644","-0.280961379600057","0.000354013277878186","-0.0030307695907067"
"ENSGACT00000005203","0.000116466802488154","0.00119898330956615","0.000747874464557345","0.306111669041596","-0.0297130004640701","0.00163828180492905","-0.000760636045011791"
"ENSGACT00000024567","6.75683602681049e-05","0.00166847004861363","0.00962709891540828","0.985704338682007","-0.120981386996004","0.00269732011132089","3.74766216827724e-05"
"ENSGACT00000023653","3.52557863158307e-05","0.00176371253841988","0.33827311538559","0.87670533267098","0.229003523326117","0.0017055554072617","0.000687161769299737"
"ENSGACT00000000744","3.55891792004456e-05","0.00183160420732022","0.511346614233412","0.543561994443771","-0.317962132338624","0.000248775128670518","0.00287839621551295"
"ENSGACT00000014955","2.34271453447522e-05","0.00183541296711687","0.469825590242592","0.176443021267307","0.480706739700521","0.00268724304223206","-0.00824605848438784"
"ENSGACT00000027405","4.16186256705555e-05","0.00190814895002063","0.890647853167144","0.412257386199043","0.158706904642817","-0.00163287708081916","0.00332520921982488"
"ENSGACT00000027551","2.43723938476564e-05","0.00197518172066088","0.893301174715185","0.17775014759147","0.174980928605466","-0.00526424566961605","0.00806727688692915"
"ENSGACT00000011984","3.07975980697844e-05","0.00199273022931765","0.754476102706015","0.0247238479084573","0.468157973951417","0.00549670116557664","-0.0109776055552552"
"ENSGACT00000016322","4.39751000823518e-05","0.00210182038778447","0.961534201245951","0.663420121478515","0.168249451598519","0.000584608661478747","-0.00117890996190049"
"ENSGACT00000008370","3.17090324420906e-05","0.00244904086841412","0.881020917765165","0.427337956041041","-0.363359951179191","-0.0023132381588037","0.00425729889946396"
"ENSGACT00000013740","4.33827140720535e-05","0.00276539948293865","0.169395968690964","0.260644710802518","0.129810086589369","-0.00524900503047045","0.004469492515376"
"ENSGACT00000012159","0.000117698821808339","0.002787992251061","0.22794201267986","0.561565159155844","-0.178686244354362","0.00089612957415699","0.0016010994958125"
"ENSGACT00000023825","3.64017193688004e-05","0.00289933304031259","0.81558922710097","0.441468718177826","-0.192495956514593","0.00115459679682421","-0.00390962321981077"
"ENSGACT00000007690","2.63672692539569e-05","0.0029088769450112","0.102903600862444","0.881887444311532","0.274195448676686","0.0044704447848718","-0.000741994809992078"
"ENSGACT00000021950","2.4667820527812e-05","0.00294772576028184","0.28502311800506","0.534182329238735","0.363280437856455","0.00505454722052824","-0.0035200714604488"
"ENSGACT00000025116","2.571675183434e-05","0.00312492598358505","0.337601485425148","0.453166343757828","0.229380165629789","-0.0055062710050866","0.00450969609319564"
"ENSGACT00000014127","3.24822843835542e-05","0.00323172778882477","0.243641703399858","0.743799098986974","0.270802009075923","-0.00454313864680554","0.00194569262245313"
"ENSGACT00000000971","3.73715597183089e-05","0.00326323125186896","0.739946854210075","0.530478924371205","-0.345251234788491","-0.000628524244444514","0.00338768851313481"
"ENSGACT00000002574","3.69954995940959e-05","0.00334233456075079","0.554513019262557","0.569796479398497","0.234366972291792","0.00231184240675587","-0.0021434994242815"
"ENSGACT00000023159","5.63387586769575e-05","0.00335893513455522","0.00104703556177988","0.0537317927535203","0.0439261047307048","-0.00621363448199998","0.0044664311639517"
"ENSGACT00000023559","5.63179025281716e-05","0.00341012890750768","0.566962600206854","0.686766834633482","-0.124428292511284","-0.000264333524252789","-0.00114914305609208"
"ENSGACT00000014282","2.77121137458562e-05","0.00356387110386047","0.769691865977824","0.777360282902869","0.271871170066854","-0.00185127762058857","0.00168234569065271"
"ENSGACT00000004259","7.9456095356655e-05","0.0036642580443162","0.665563296335535","0.796425313378961","-0.0548470967783813","8.40835338244339e-05","0.000251431310755345"
"ENSGACT00000014215","0.000138157265245838","0.00368865890267725","0.0717015633722323","0.652180651635561","-0.0533024080113736","0.00136718723493223","-0.000546845276659282"
"ENSGACT00000008167","2.83710420892901e-05","0.00371609369793061","0.672447084451234","0.0587417881003683","0.118187925874518","-0.00772735312252944","0.0148854001506196"
"ENSGACT00000007101","2.31272287354258e-05","0.00391828010514379","0.00565713710971385","0.218043765051801","0.376777099800467","0.0103691329027901","-0.0061301697757577"
