"gene","meanreadprop","Treat_P","DPI_P","Treat_DPI_P","Treat_C","DPI_C","Treat_DPI_C"
"ENSGACT00000010336","3.49179718673268e-05","0.000112614708154382","0.121877750960847","0.971657816376255","-0.370606916258572","-0.0042893455240881","0.000197984467491734"
"ENSGACT00000021776","3.82195492474359e-05","0.000125929763057828","0.105157256923747","0.50276383885461","-0.223752754827804","-0.0020551406316228","-0.0027164806061412"
"ENSGACT00000013054","8.56856747452172e-05","0.000126387670711617","0.174669562664349","0.151838247597141","0.153980201968846","0.0023743465631066","-0.00236806908333801"
"ENSGACT00000001342","2.54286952055269e-05","0.000134888954532986","0.691826346079979","0.469984534234373","-0.442683755921628","-0.000585061508242147","0.00401547493487361"
"ENSGACT00000002111","6.72409392135024e-05","0.000145773046393435","0.0172620340025006","0.00367417037244938","0.0653259206877544","-0.00267490976668338","0.0137970013311162"
"ENSGACT00000026565","0.000106868273218041","0.000149267223805673","0.000381395584435012","0.447206768053246","-0.0990147320804663","0.00174691728845159","0.000939281014427972"
"ENSGACT00000009306","7.38103458204603e-05","0.00017781183334637","0.00514703066347475","0.0172129943310308","0.0499928587573635","0.000211706779505184","0.00493187947126093"
"ENSGACT00000019859","6.88449866727241e-05","0.000244411736931745","4.47723315377728e-07","0.488027991802856","-0.225197351089814","0.00634766102016145","0.00198269840805027"
"ENSGACT00000010345","9.2993921790788e-05","0.000245040549200336","2.64685058269008e-06","0.65727565939381","0.0962196071836653","-0.00291096528587549","-0.000615734224177671"
"ENSGACT00000023954","6.81374259697781e-05","0.000281146328319148","0.00914114086482573","0.683718321486586","-0.149323169307163","0.00393399609131779","-0.00107291574984591"
"ENSGACT00000003469","6.85169556743354e-05","0.000307208279901916","0.506962568447093","0.290343170298852","-0.0921079723090618","0.000335988155344434","-0.00215322667419419"
"ENSGACT00000020340","5.87450411174525e-05","0.000336228937061863","0.711675583343381","0.0723001772771932","-0.0514829043944054","0.00107182427239687","-0.00287988390649428"
"ENSGACT00000004061","0.000113172196573614","0.000395420489848563","0.00033930284638866","0.682057912475894","-0.0651033052695439","0.00237371174191878","-0.000487248418609727"
"ENSGACT00000003374","0.000108876337324937","0.000404253530383774","0.765541502119072","0.0592294009253095","0.107839219636138","0.000947693333575392","-0.00215531160003952"
"ENSGACT00000018359","4.25197794069921e-05","0.000405916154236413","0.991703596254675","0.327660826088694","-0.30001969381205","-0.00169606181382663","0.00372435044702599"
"ENSGACT00000015150","4.82518420298818e-05","0.000430999716395295","0.050244286465909","0.97558436400185","0.187890577234659","0.00294267438275918","-9.0487342099808e-05"
"ENSGACT00000013132","3.60137308750432e-05","0.000448974307371913","0.112344773684592","0.592487779410484","-0.263567145438508","0.00512989122661002","-0.00270393064323206"
"ENSGACT00000023166","7.05164058129294e-05","0.000450990917254966","0.0669795266895568","0.0348639748539581","-0.0365735722452951","0.000134935543723408","-0.00296195408424317"
"ENSGACT00000017351","3.59462798684893e-05","0.000465576203342718","0.466474656818455","0.836080038329925","-0.237839620726171","0.000985591904900881","0.000754835562750479"
"ENSGACT00000025712","7.17011565540066e-05","0.000595722006494427","0.00671130281472589","0.417261413801637","-0.08503859781635","0.00323790064065837","-0.00150638313478893"
"ENSGACT00000024555","8.42134274869118e-05","0.000613608456660823","0.000693111621942316","0.428255787748147","-0.0681090865986113","0.0030924350195544","-0.00117661040503851"
"ENSGACT00000017180","4.23083233691471e-05","0.000618492679535748","0.402511246425643","0.1265450703578","0.121755439528161","-0.00463038869804936","0.00554110247350088"
"ENSGACT00000002400","5.06948108888588e-05","0.000636318249874007","0.444445494824627","0.766378592913968","-0.113561951520896","0.0010826823323323","-0.000615630673870615"
"ENSGACT00000024835","5.50117511600295e-05","0.000677265968555593","0.0110188128498246","0.000838582612132266","0.000625241294435857","-0.00157971893983372","0.00900769953298798"
"ENSGACT00000017011","2.77342804176251e-05","0.00071378238825137","0.320212817848018","0.727221949913345","-0.261768048617529","-0.00168655516793185","-0.00173139348422343"
"ENSGACT00000018352","6.81081552201667e-05","0.00074874936898107","0.216167025627711","0.873530600218747","-0.111100191620308","0.00136680299397644","-0.000313324479708787"
"ENSGACT00000001929","5.27542040632242e-05","0.000840081179769603","0.274215779558626","0.766997271270796","0.142133767499542","0.00155638276820998","-0.00065397792769021"
"ENSGACT00000021770","6.90110627068091e-05","0.000905534592108261","0.00248530059037678","0.201373316722148","-0.071784235003319","0.00432166005860549","-0.00260559530772705"
"ENSGACT00000004913","3.54070974878262e-05","0.000928378513073597","0.67984511376185","0.963640305150196","-0.231447736246676","0.000911305790678187","-0.000184075499152701"
"ENSGACT00000026787","4.51796600875903e-05","0.000937226344417695","0.531635057597597","0.333437255751453","-0.148242755594754","0.000439273158199309","-0.00346473124031374"
"ENSGACT00000013928","5.15652177962465e-05","0.00097933201198699","0.09775921242475","0.90738564697985","-0.107724378756801","0.00138939708345358","0.000208948947848698"
"ENSGACT00000020128","5.67175536271639e-05","0.000993518181145277","0.204701369287793","0.0106467039411642","-0.0267479402592517","0.00104377880820819","-0.00466425595993218"
"ENSGACT00000006202","3.06086469456133e-05","0.00101588234201311","0.552363057261115","0.0107136704682966","-0.0693553264555316","0.00372600942510072","-0.012228325802934"
"ENSGACT00000004874","4.88828002680383e-05","0.00104823422676392","0.260638617714927","0.538038512300485","-0.088014972252715","0.00161009244807771","-0.00115898692551724"
"ENSGACT00000000778","8.11960903929408e-05","0.00110101188191713","0.333406772862062","0.445657745229908","0.0892093578693834","-0.00010927090439699","-0.000973791763089027"
"ENSGACT00000001518","9.16021870093554e-05","0.00113160604690749","0.467198755820874","0.907785638848631","0.0799281219654841","0.000569999659168441","-0.000155706911212112"
"ENSGACT00000004688","3.22809251846828e-05","0.00114627962400667","0.794803681747513","0.10079258468136","-0.138180463210472","0.00401496936464605","-0.00797809341988277"
"ENSGACT00000005268","2.5197361073761e-05","0.0012685064776613","0.254378848228674","0.273377417989171","-0.422366680363881","0.000511752126033421","0.00600480621374829"
"ENSGACT00000001538","8.83762220174705e-05","0.00126967407606662","0.0558497289266605","0.866341185717349","0.0859539041332684","-0.00169354224109601","0.000273921050576245"
"ENSGACT00000025154","7.7639249278884e-05","0.00128690619145733","0.221631318796811","0.85112355098232","0.0612614863418682","-0.000820654280420842","0.000217713112991453"
"ENSGACT00000017473","2.90165766817819e-05","0.00130547416539582","0.250591364083971","0.526243794838","-0.416326465806637","0.00184166079262789","0.0038523923079879"
"ENSGACT00000013637","3.76180684140952e-05","0.00132160869230216","0.00669327346148571","0.690420610027781","-0.243318356650727","-0.00601124655592027","0.00158093611729271"
"ENSGACT00000016952","4.10742573856874e-05","0.00133074037461462","0.328431074429664","0.0233176194547084","-0.0669259111978585","0.0019077348828291","-0.0083787435022767"
"ENSGACT00000007593","9.95205062656138e-05","0.00135205503325218","0.164489409203135","0.381101912629992","-0.164831979904499","0.000643563980795175","0.00200765310414305"
"ENSGACT00000026560","2.84080322884264e-05","0.00138542916304727","0.733701215284869","0.685197935049812","-0.247687729593083","3.30124449474146e-05","-0.00205828418198119"
