Fish_ID,Population,Treatment,DPI,Sex,Lane,Fib_L_count,Fib_R_count,Fib_Avg_count
3,SAY,Worm Protein,1,M,L001,0,0,0
4,SAY,Worm+Alum,1,M,L001,0,0,0
5,SAY,PBS,1,M,L001,0,0,0
6,SAY,Alum,1,F,L001,0,0,0
7,SAY,PBS,1,M,L001,0,0,0
8,SAY,Alum,1,F,L001,0,0,0
9,SAY,Worm Protein,1,F,L001,0,0,0
10,SAY,Worm+Alum,1,M,L001,0,0,0
11,SAY,Worm Protein,1,M,L001,0,0,0
12,GOS,Worm Protein,1,M,L001,0,0,0
13,GOS,PBS,1,F,L001,0,0,0
14,GOS,Alum,1,F,L001,0,0,0
15,GOS,Worm+Alum,1,F,L001,0,0,0
16,RSL,Worm Protein,1,F,L001,0,0,0
17,GOS,PBS,1,F,L001,0,0,0
18,RSL,PBS,1,M,L001,0,0,0
19,RSL,Alum,1,F,L001,0,0,0
20,GOS,PBS,1,M,L001,0,0,0
21,GOS,Worm+Alum,1,M,L001,0,0,0
22,GOS,Worm Protein,1,F,L001,0,0,0
23,RSL,Alum,1,F,L001,0,0,0
25,RSL,Worm+Alum,1,F,L001,0,0,0
26,GOS,Alum,1,F,L001,0,0,0
27,RSL,Alum,1,F,L001,0,0,0
28,SAY,Worm Protein,1,M,L001,0,0,0
29,SAY,PBS,1,M,L001,0,0,0
30,SAY,Alum,1,M,L001,0,0,0
31,SAY,Worm+Alum,1,F,L001,0,0,0
32,SAY,PBS,1,F,L001,0,0,0
33,SAY,Alum,1,F,L001,0,0,0
34,SAY,Worm Protein,1,F,L001,0,0,0
35,SAY,PBS,1,F,L001,0,0,0
36,SAY,Worm+Alum,1,M,L001,0,0,0
37,SAY,Worm Protein,1,F,L001,0,0,0
38,SAY,PBS,1,F,L001,0,0,0
39,SAY,Worm Protein,1,M,L001,0,0,0
40,SAY,Worm+Alum,1,F,L001,0,0,0
41,SAY,Alum,1,F,L001,0,0,0
42,GOS,Worm+Alum,1,M,L001,0,0,0
43,GOS,Worm Protein,1,F,L001,0,0,0
44,GOS,PBS,1,M,L001,0,0,0
45,GOS,Alum,1,F,L001,0,0,0
46,GOS,Worm Protein,1,F,L001,0,0,0
47,GOS,Alum,1,F,L001,0,0,0
48,GOS,Alum,1,F,L001,0,0,0
49,GOS,PBS,1,F,L001,0,0,0
50,RSL,Alum,1,F,L001,2,0,1
51,RSL,PBS,1,M,L001,0,0,0
52,RSL,PBS,1,F,L001,1,0,0.5
53,RSL,Worm Protein,1,F,L001,0,0,0
54,RSL,Alum,1,M,L001,2,0,1
55,SAY,Worm+Alum,1,M,L001,0,0,0
56,SAY,Alum,1,F,L001,0,0,0
57,SAY,PBS,1,M,L001,0,0,0
58,SAY,Alum,1,M,L001,0,0,0
59,SAY,Worm Protein,1,F,L001,0,0,0
60,GOS,Alum,1,M,L001,0,0,0
61,GOS,Worm Protein,1,M,L001,0,0,0
62,GOS,PBS,1,M,L001,0,0,0
63,GOS,PBS,1,M,L001,0,0,0
64,RSL,Worm Protein,1,M,L001,2,0,1
65,RSL,Alum,1,F,L001,2,0,1
66,RSL,PBS,1,F,L001,0,0,0
67,RSL,Worm+Alum,1,F,L001,3,2,2.5
68,GOS,Worm+Alum,1,M,L001,0,0,0
69,GOS,Worm+Alum,1,M,L001,0,0,0
70,RSL,PBS,1,F,L001,0,0,0
71,RSL,Alum,1,M,L001,1,0,0.5
72,RSL,Worm+Alum,1,F,L001,0,0,0
73,RSL,Worm Protein,1,F,L001,0,0,0
74,RSL,Worm+Alum,1,F,L001,0,0,0
75,RSL,Worm Protein,1,F,L001,0,0,0
76,GOS,Worm Protein,1,M,L001,0,0,0
77,GOS,Alum,1,F,L001,0,0,0
78,GOS,PBS,1,F,L001,0,0,0
79,SAY,Alum,1,M,L001,0,0,0
80,RSL,Worm Protein,1,M,L001,2,0,1
81,RSL,Worm+Alum,1,F,L001,2,0,1
82,GOS,PBS,1,M,L001,0,0,0
83,GOS,Worm Protein,1,M,L001,0,0,0
84,GOS,Alum,1,M,L001,0,0,0
85,GOS,Worm+Alum,1,F,L001,1,0,0.5
86,RSL,Worm+Alum,1,M,L001,4,3,3.5
88,SAY,Alum,1,F,L001,0,0,0
89,SAY,PBS,1,M,L001,0,0,0
90,SAY,Worm Protein,1,F,L001,0,0,0
91,RSL,Alum,1,F,L001,2,0,1
92,RSL,PBS,1,M,L001,0,0,0
93,SAY,Worm Protein,1,F,L001,0,0,0
94,SAY,Worm+Alum,1,F,L001,0,0,0
95,SAY,PBS,1,F,L001,0,0,0
96,RSL,Alum,1,F,L001,0,0,0
97,RSL,PBS,1,M,L001,0,0,0
98,GOS,Alum,1,F,L001,0,0,0
99,GOS,Worm+Alum,1,M,L001,0,0,0
100,RSL,Worm Protein,1,F,L001,2,0,1
101,RSL,Worm+Alum,1,F,L001,3,0,1.5
102,SAY,Worm+Alum,1,F,L001,0,0,0
103,GOS,PBS,1,F,L001,0,0,0
104,GOS,Worm Protein,1,F,L001,0,0,0
105,SAY,Worm+Alum,1,F,L001,0,0,0
106,RSL,Worm+Alum,1,M,L001,1,0,0.5
107,RSL,Worm Protein,1,M,L001,1,0,0.5
108,RSL,PBS,1,M,L001,0,0,0
109,RSL,Worm+Alum,1,F,L001,2,2,2
110,RSL,Alum,1,F,L001,3,0,1.5
111,RSL,Worm Protein,1,F,L001,0,0,0
112,RSL,PBS,1,M,L001,0,0,0
113,GOS,Worm+Alum,1,F,L001,0,0,0
114,SAY,Alum,1,F,L001,0,0,0
115,SAY,Worm+Alum,1,F,L001,0,0,0
116,GOS,PBS,1,F,L001,0,0,0
117,GOS,Worm+Alum,1,F,L001,0,0,0
118,GOS,Alum,1,M,L001,0,0,0
119,GOS,Worm Protein,1,M,L001,0,0,0
120,GOS,Worm+Alum,1,F,L001,0,0,0
121,GOS,Worm Protein,1,M,L001,0,0,0
122,SAY,PBS,1,F,L001,0,0,0
123,SAY,Worm+Alum,1,F,L001,0,0,0
124,SAY,Alum,1,F,L001,0,0,0
125,RSL,Worm+Alum,1,F,L001,2,2,2
126,SAY,Worm Protein,10,M,L001,0,0,0
127,SAY,PBS,10,M,L001,0,0,0
128,SAY,PBS,10,M,L001,0,0,0
129,SAY,Worm+Alum,10,M,L001,2,2,2
130,SAY,Worm Protein,10,F,L001,0,0,0
131,SAY,Alum,10,M,L001,2,2,2
132,SAY,PBS,10,F,L001,0,0,0
133,SAY,Worm+Alum,10,F,L001,3,3,3
134,SAY,Worm Protein,10,M,L001,0,0,0
135,RSL,Alum,10,F,L001,3,2,2.5
136,RSL,PBS,10,M,L001,0,0,0
137,GOS,Worm+Alum,10,M,L001,4,4,4
138,GOS,Alum,10,M,L001,3,2,2.5
139,GOS,PBS,10,F,L001,0,0,0
140,GOS,Worm Protein,10,F,L001,0,0,0
141,RSL,Worm Protein,10,F,L001,2,0,1
142,GOS,Alum,10,M,L001,3,2,2.5
143,GOS,PBS,10,M,L001,0,0,0
144,RSL,Worm Protein,10,M,L001,2,1,1.5
145,GOS,PBS,10,M,L001,0,0,0
146,GOS,PBS,10,M,L001,0,0,0
147,GOS,Worm+Alum,10,F,L001,3,0,1.5
148,GOS,Worm Protein,10,F,L001,0,0,0
149,RSL,Alum,10,F,L001,3,2,2.5
150,RSL,Worm Protein,10,M,L001,0,0,0
151,RSL,Worm+Alum,10,F,L001,2,2,2
152,RSL,PBS,10,F,L001,0,0,0
153,SAY,Worm Protein,10,F,L001,0,0,0
154,SAY,Worm+Alum,10,M,L001,3,2,2.5
155,GOS,PBS,10,M,L001,0,0,0
156,SAY,Alum,10,M,L001,3,2,2.5
157,SAY,Worm Protein,10,M,L001,0,0,0
158,GOS,Worm Protein,10,F,L001,0,0,0
159,SAY,Worm Protein,10,F,L001,0,0,0
160,SAY,PBS,10,F,L001,0,0,0
161,SAY,Alum,10,F,L001,4,4,4
162,GOS,Worm Protein,10,M,L001,0,0,0
163,GOS,Worm+Alum,10,M,L001,3,2,2.5
164,GOS,PBS,10,F,L001,0,0,0
165,GOS,Alum,10,F,L001,2,2,2
166,GOS,Worm Protein,10,M,L001,0,0,0
167,GOS,Alum,10,M,L001,3,3,3
168,GOS,PBS,10,M,L001,0,0,0
169,GOS,Alum,10,F,L001,3,2,2.5
170,GOS,PBS,10,M,L001,0,0,0
171,RSL,Alum,10,M,L001,3,3,3
172,RSL,PBS,10,M,L001,1,0,0.5
173,RSL,Worm+Alum,10,M,L001,3,3,3
174,GOS,Alum,10,M,L001,2,2,2
175,GOS,Worm Protein,10,F,L001,0,0,0
176,GOS,Worm+Alum,10,F,L001,3,3,3
177,RSL,Alum,10,M,L001,4,4,4
178,RSL,PBS,10,F,L001,0,0,0
179,GOS,Worm+Alum,10,F,L001,2,2,2
180,SAY,PBS,10,M,L001,0,0,0
181,RSL,Worm+Alum,10,F,L001,4,2,3
182,RSL,Worm Protein,10,F,L001,2,2,2
183,RSL,PBS,10,F,L001,0,0,0
184,RSL,Alum,10,M,L001,3,3,3
185,GOS,Alum,10,F,L001,2,2,2
186,SAY,Worm+Alum,10,M,L001,3,2,2.5
187,SAY,Worm+Alum,10,F,L001,3,2,2.5
188,RSL,Worm Protein,10,F,L001,3,3,3
189,RSL,Worm+Alum,10,F,L001,4,3,3.5
190,RSL,PBS,10,M,L001,0,0,0
191,GOS,PBS,10,M,L001,0,0,0
192,GOS,Worm Protein,10,M,L001,0,0,0
193,GOS,Alum,10,M,L001,3,2,2.5
194,GOS,Worm+Alum,10,M,L001,2,2,2
195,GOS,Alum,10,F,L001,3,3,3
196,GOS,Worm+Alum,10,F,L001,3,2,2.5
197,GOS,Worm Protein,10,F,L001,0,0,0
198,RSL,Worm+Alum,10,F,L001,3,2,2.5
199,RSL,Worm+Alum,10,M,L001,4,4,4
200,RSL,Worm+Alum,10,F,L001,3,3,3
201,SAY,PBS,10,M,L001,0,0,0
202,SAY,Alum,10,F,L001,3,2,2.5
203,SAY,PBS,10,F,L001,0,0,0
204,SAY,Worm Protein,10,M,L001,0,0,0
205,RSL,Worm Protein,10,M,L001,2,2,2
206,RSL,PBS,10,M,L001,1,0,0.5
207,RSL,Alum,10,F,L001,3,3,3
208,SAY,Worm Protein,10,F,L001,0,0,0
209,SAY,Alum,10,F,L001,2,2,2
210,SAY,Alum,10,M,L001,3,2,2.5
211,SAY,Worm Protein,10,F,L001,1,0,0.5
212,SAY,Alum,10,F,L001,3,2,2.5
213,RSL,PBS,10,M,L001,0,0,0
214,RSL,Worm Protein,10,M,L001,0,0,0
215,RSL,Alum,10,F,L001,4,2,3
216,GOS,Worm+Alum,10,M,L001,2,2,2
217,RSL,Worm Protein,10,F,L001,3,2,2.5
218,RSL,PBS,10,F,L001,0,0,0
219,SAY,Worm+Alum,10,F,L001,3,2,2.5
220,SAY,Worm+Alum,10,F,L001,3,2,2.5
221,SAY,Alum,10,F,L001,2,2,2
222,RSL,Worm Protein,10,M,L001,0,0,0
223,RSL,Worm+Alum,10,M,L001,3,2,2.5
224,RSL,Alum,10,F,L001,3,3,3
225,RSL,Worm Protein,10,M,L001,0,0,0
226,RSL,PBS,10,F,L001,0,0,0
227,RSL,Alum,10,F,L001,3,1,2
228,RSL,Worm+Alum,10,F,L001,2,2,2
229,RSL,Worm+Alum,10,F,L001,3,3,3
230,RSL,Alum,10,M,L001,3,2,2.5
